"","states","rmse","avg_pop_gr","avg_pce_gr","med_bach%","avg_rmedinc_gr","state.abb"
"1","Alabama",4.42497557365991,0.834620803338785,4.69404165544861,23.5,0.82123346652011,"AL"
"2","Alaska",12.9430881313925,2.31838994279422,4.94364430144939,28,0.238324404954995,"AK"
"3","Arizona",13.265408880862,3.32778897889363,5.90053359379215,27.6,0.796403459327825,"AZ"
"4","Arkansas",3.94116516994783,0.689319192115793,5.38759492914158,21.4,0.807922532754466,"AR"
"5","California",7.85773143965473,2.65357125243007,5.78924754651656,31.7,0.753563974517425,"CA"
"6","Colorado",7.47619941905985,1.93641965507756,5.55239287925519,38.3,0.839792472038622,"CO"
"7","Connecticut",10.752625966714,1.12195470761557,4.79207913592354,38,0.470701878504087,"CT"
"8","Delaware",16.8743408410574,1.3973914846625,4.45311789695137,30.6,0.554428447709593,"DE"
"9","Florida",10.0754027740208,3.05146558365555,5.74899179275538,27.3,0.699061335780979,"FL"
"10","Georgia",9.0401483096865,1.30328581571524,5.58350748751737,29.1,0.766269626604825,"GA"
"11","Hawaii",21.8176012415563,1.44988522437354,4.58183309884483,31.2,0.574887534534556,"HI"
"12","Idaho",11.7033749491321,2.02386818989459,6.10313066418745,26,0.806097410040116,"ID"
"13","Illinois",7.73729110568499,0.776637057852816,3.95401516332726,32.8,0.683661354858553,"IL"
"14","Indiana",13.2686223116529,0.815091876979726,4.41974298369769,24.7,0.510561128133506,"IN"
"15","Iowa",5.80632563682177,0.295030286610925,3.34005687853347,26.8,1.09613793354697,"IA"
"16","Kansas",4.75401330490295,0.562027756839877,4.3568394476687,31.5,0.414742710957943,"KS"
"17","Kentucky",5.96193754884625,0.605963736272816,4.79664615278963,22.6,0.582162195183032,"KY"
"18","Louisiana",11.2656527198355,0.971833627249435,4.74484160181947,22.9,0.512935604888569,"LA"
"19","Maine",2.95837612200541,0.56687420937016,3.92032332004359,29.4,0.953767413586171,"ME"
"20","Maryland",4.22976137312673,1.3400378792149,4.7214975661531,38.2,0.955348898018658,"MD"
"21","Massachusetts",6.98264754630235,0.748606092139118,4.18272300901787,41.2,0.828243973018688,"MA"
"22","Michigan",12.6597282165093,1.15552668816681,3.52050315153495,27.4,0.448473456555163,"MI"
"23","Minnesota",7.89242609011754,0.963574804858199,4.55528970263634,34.3,0.996351216104657,"MN"
"24","Mississippi",3.13444534795808,0.518793162152645,4.61446937092346,20.8,0.573585766453946,"MS"
"25","Missouri",3.73846110380993,0.560934688834282,4.39465595220125,27.5,0.807081135525187,"MO"
"26","Montana",4.96677385310838,1.24487813460078,5.02836591256114,29.4,1.0221442159066,"MT"
"27","Nebraska",3.16803097136838,0.501973048952054,4.60666891437798,29.5,0.970086012186157,"NE"
"28","Nevada",25.4694568820241,3.50234497144877,6.18831352194212,23.1,0.269070906786325,"NV"
"29","New Hampshire",6.56017078623612,0.995666856836103,4.88206567671974,35,0.678843821754329,"NH"
"30","New Jersey",6.56039789534819,1.29726170733584,4.30309386260638,37.4,0.715401308446013,"NJ"
"31","New Mexico",6.09554904791511,1.93365690121192,5.57210371486402,26.4,0.201559067056271,"NM"
"32","New York",4.69275974526875,0.803672398507464,4.60007576805229,34.5,0.809933049056344,"NY"
"33","North Carolina",6.71233533987592,1.41670996675928,6.20430159076171,28.7,0.584491433120445,"NC"
"34","North Dakota",34.2939855539327,0.725913418707712,5.22214632266349,27.9,1.06000257139961,"ND"
"35","Ohio",6.04999681956228,0.846464586489342,4.17935160530983,26.6,0.373764497073989,"OH"
"36","Oklahoma",9.63962394483866,1.31935299551986,5.61685958123853,24.2,0.44501412482559,"OK"
"37","Oregon",8.51165977007999,1.88818885390451,5.363076318848,30.8,1.23818628183673,"OR"
"38","Pennsylvania",6.35570564486025,0.584867109120753,4.00770764431236,29,0.887421934839136,"PA"
"39","Rhode Island",5.02966222452183,0.760652509501166,3.54427487354238,32.4,1.01931956809107,"RI"
"40","South Carolina",5.41357715961898,1.12790948139165,4.69169422653085,26.3,0.481071966915129,"SC"
"41","South Dakota",6.06735486129515,0.670484169794019,6.13356864944062,27.5,0.821294480948155,"SD"
"42","Tennessee",6.8434515785645,1.02377002324509,5.35705234789908,25.3,1.13283436559307,"TN"
"43","Texas",5.97943760365213,1.87077667857042,5.67136541821225,27.8,0.648842146772477,"TX"
"44","Utah",5.77071524534919,2.04285815542385,5.91022943494662,31.3,1.30204099190684,"UT"
"45","Vermont",6.28736961201889,0.514163850568329,3.65667002138465,35.8,0.612493773066625,"VT"
"46","Virginia",4.58785794325112,1.25660579444627,5.30004606442122,36.7,0.624012716370869,"VA"
"47","Washington",8.8233271603282,2.19833127544459,5.42056581640185,33.1,0.906488507954382,"WA"
"48","West Virginia",3.50409907440114,0.498279563312425,4.32544832781885,19.2,0.543565466417945,"WV"
"49","Wisconsin",5.11700811409282,0.852270800399157,4.11407097424289,28.4,0.876854486270389,"WI"
"50","Wyoming",23.2950696556533,1.49382039646493,4.93048631421527,26.6,0.504900173788503,"WY"
